"date","grouping","Troops","troops.mean","troops.med","troops.sd","Police","police.mean","police.median","police.sd","Obvservers","obvservers.mean","obvservers.median","obvservers.sd","Total","total.mean","total.median","total.sd"
1992-02-29,"A3",43,8.6,9,5.17687164221791,8,8,8,NA,0,NA,NA,NA,51,10.2,9,8.07465169527454
1992-02-29,"G4",121,17.2857142857143,14,13.2629092549396,10,10,10,NA,0,NA,NA,NA,131,18.7142857142857,14,14.8066908942577
1992-02-29,"None",10087,78.8046875,8,196.122011621392,368,23,10,37.5694911685887,0,NA,NA,NA,10455,78.0223880597015,8,192.506438381459
1992-02-29,"P5",1781,84.8095238095238,20,194.122801094467,0,NA,NA,NA,0,NA,NA,NA,1781,84.8095238095238,20,194.122801094467
1992-03-31,"A3",52,10.4,11,6.6932802122726,8,8,8,NA,0,NA,NA,NA,60,12,11,8.71779788708135
1992-03-31,"G4",149,21.2857142857143,15,13.7926826701007,10,10,10,NA,0,NA,NA,NA,159,22.7142857142857,15,14.8404209926166
1992-03-31,"None",12079,94.3671875,8.5,218.878489682223,384,20.2105263157895,9,32.7559645923345,0,NA,NA,NA,12463,92.3185185185185,9,214.396885832106
1992-03-31,"P5",1903,90.6190476190476,20,198.408033151502,92,46,46,41.0121933088198,0,NA,NA,NA,1995,90.6818181818182,20,196.991270380341
1992-04-30,"A3",62,8.85714285714286,9,7.26701615585956,14,4.66666666666667,2,4.61880215351701,0,NA,NA,NA,76,10.8571428571429,9,9.42388050696335
1992-04-30,"G4",151,18.875,14,17.6993744845081,106,35.3333333333333,20,35.5715241918776,0,NA,NA,NA,257,32.125,20,32.0242653534561
1992-04-30,"None",18389,123.41610738255,12,258.873941478545,849,22.3421052631579,14,25.7201953628298,0,NA,NA,NA,19238,120.993710691824,15,255.04614863761
1992-04-30,"P5",5264,219.333333333333,25.5,465.973563969932,163,32.6,30,25.0159948832742,0,NA,NA,NA,5427,217.08,30,463.743186832252
