"","Date","Mission","Type","Male","Male.mean","Male.med","Male.sd","Female","Female.mean","Female.med","Female.sd","Total","Total.mean","Total.med","Total.sd","female.perc"
"55",2009-11-30,"UNMIN","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"56",2009-11-30,"UNMIN","Individual Police",0,0,0,0,0,0,0,0,0,0,0,0,NA
"57",2009-11-30,"UNMIS","Contingent Troops",8684,129.611940298507,1,430.635927058404,122,1.82089552238806,0,6.53179954120569,8806,131.432835820896,1,433.464451860455,0.0138541903247786
"58",2009-11-30,"UNMIS","Experts on Mission",471,7.02985074626866,6,6.45959504606937,6,0.0895522388059701,0,0.336260328604783,477,7.11940298507463,6,6.48429895759797,0.0125786163522013
"59",2009-11-30,"UNMIS","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"60",2009-11-30,"UNMIS","Individual Police",586,8.74626865671642,4,12.66867203055,86,1.28358208955224,0,2.37924083989406,672,10.0298507462687,5,13.7554068149238,0.12797619047619
"61",2009-11-30,"UNMIT","Contingent Troops",0,0,0,0,0,0,0,0,0,0,0,0,NA
"62",2009-11-30,"UNMIT","Experts on Mission",31,0.720930232558139,0,1.24069069464493,1,0.0232558139534884,0,0.152498570332605,32,0.744186046511628,0,1.27415748551578,0.03125
"63",2009-11-30,"UNMIT","Formed Police Units",555,12.906976744186,0,40.7844589644543,5,0.116279069767442,0,0.762492851663023,560,13.0232558139535,0,41.1463638225051,0.00892857142857143
"64",2009-11-30,"UNMIT","Individual Police",937,21.7906976744186,13,28.4902306894794,51,1.18604651162791,0,1.51588122969679,988,22.9767441860465,13,29.1102079723747,0.0516194331983806
"65",2009-11-30,"UNMOGIP","Contingent Troops",0,0,0,0,0,0,0,0,0,0,0,0,NA
"66",2009-11-30,"UNMOGIP","Experts on Mission",43,5.375,5.5,2.82526863450944,1,0.125,0,0.353553390593274,44,5.5,5.5,2.97609523657138,0.0227272727272727
"67",2009-11-30,"UNMOGIP","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"68",2009-11-30,"UNMOGIP","Individual Police",0,0,0,0,0,0,0,0,0,0,0,0,NA
"69",2009-11-30,"UNOCI","Contingent Troops",6943,123.982142857143,0,360.055828553468,84,1.5,0,6.95701085237043,7027,125.482142857143,0,362.232571753233,0.0119538921303543
"70",2009-11-30,"UNOCI","Experts on Mission",182,3.25,3,3.54323940124647,13,0.232142857142857,0,0.539058823862865,195,3.48214285714286,3,3.54704010500213,0.0666666666666667
"71",2009-11-30,"UNOCI","Formed Police Units",749,13.375,0,61.5309419575373,0,0,0,0,749,13.375,0,61.5309419575373,0
"72",2009-11-30,"UNOCI","Individual Police",382,6.82142857142857,0,13.9741412393257,36,0.642857142857143,0,3.08915152474869,418,7.46428571428571,0,14.6845178652574,0.0861244019138756
"73",2009-11-30,"UNTSO","Contingent Troops",0,0,0,0,0,0,0,0,0,0,0,0,NA
"74",2009-11-30,"UNTSO","Experts on Mission",142,6.17391304347826,5,4.09714062058189,9,0.391304347826087,0,0.940943937793929,151,6.56521739130435,7,4.24077701881626,0.0596026490066225
"75",2009-11-30,"UNTSO","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"76",2009-11-30,"UNTSO","Individual Police",0,0,0,0,0,0,0,0,0,0,0,0,NA
