"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
1993-09-30,"Northern Africa","Africa",4,2473,24,66,2563
1993-09-30,"Southern Africa","Africa",1,992,NA,24,1016
1993-09-30,"Western Africa","Africa",6,2309,51,99,2459
1993-10-31,"Eastern Africa","Africa",3,2698,55,79,2832
1993-10-31,"Middle Africa","Africa",2,NA,2,7,9
1993-10-31,"Northern Africa","Africa",3,2552,23,44,2619
1993-10-31,"Southern Africa","Africa",1,1074,NA,23,1097
1993-10-31,"Western Africa","Africa",6,1438,60,114,1612
1993-11-30,"Eastern Africa","Africa",3,2722,55,90,2867
1993-11-30,"Middle Africa","Africa",1,NA,NA,30,30
1993-11-30,"Northern Africa","Africa",3,3672,23,48,3743
1993-11-30,"Southern Africa","Africa",1,1067,NA,22,1089
1993-11-30,"Western Africa","Africa",6,1405,54,137,1596
1993-12-31,"Eastern Africa","Africa",3,2739,54,78,2871
1993-12-31,"Middle Africa","Africa",1,NA,NA,30,30
1993-12-31,"Northern Africa","Africa",3,3772,22,60,3854
1993-12-31,"Southern Africa","Africa",1,1075,NA,22,1097
1993-12-31,"Western Africa","Africa",7,1417,57,173,1647
1994-01-31,"Eastern Africa","Africa",3,2844,52,88,2984
1994-01-31,"Middle Africa","Africa",1,NA,NA,27,27
1994-01-31,"Northern Africa","Africa",3,3637,22,71,3730
1994-01-31,"Southern Africa","Africa",1,1073,NA,22,1095
1994-01-31,"Western Africa","Africa",8,1415,49,232,1696
1994-02-28,"Eastern Africa","Africa",3,2817,51,107,2975
1994-02-28,"Middle Africa","Africa",1,NA,NA,27,27
1994-02-28,"Northern Africa","Africa",3,3536,22,71,3629
1994-02-28,"Southern Africa","Africa",1,1073,NA,22,1095
1994-02-28,"Western Africa","Africa",8,1885,69,246,2200
1994-03-31,"Eastern Africa","Africa",4,2804,51,112,2967
1994-03-31,"Middle Africa","Africa",1,NA,NA,28,28
1994-03-31,"Northern Africa","Africa",3,3527,43,71,3641
1994-03-31,"Southern Africa","Africa",1,1099,NA,22,1121
1994-03-31,"Western Africa","Africa",8,2233,84,246,2563
1994-04-30,"Eastern Africa","Africa",4,2775,51,114,2940
1994-04-30,"Middle Africa","Africa",1,NA,NA,27,27
1994-04-30,"Northern Africa","Africa",3,3510,42,75,3627
1994-04-30,"Southern Africa","Africa",1,1178,NA,22,1200
1994-04-30,"Western Africa","Africa",8,1819,90,238,2147
1994-05-31,"Eastern Africa","Africa",4,2865,55,104,3024
1994-05-31,"Middle Africa","Africa",1,NA,NA,27,27
1994-05-31,"Northern Africa","Africa",3,2152,80,74,2306
1994-05-31,"Southern Africa","Africa",1,1180,15,22,1217
1994-05-31,"Western Africa","Africa",8,1896,126,233,2255
1994-06-30,"Eastern Africa","Africa",4,2853,56,120,3029
1994-06-30,"Middle Africa","Africa",1,NA,NA,27,27
1994-06-30,"Northern Africa","Africa",3,2121,80,75,2276
1994-06-30,"Southern Africa","Africa",1,1190,15,22,1227
1994-06-30,"Western Africa","Africa",8,1899,107,248,2254
1994-07-31,"Eastern Africa","Africa",4,2795,63,122,2980
1994-07-31,"Middle Africa","Africa",1,NA,NA,2,2
1994-07-31,"Northern Africa","Africa",3,2094,79,80,2253
1994-07-31,"Southern Africa","Africa",1,1177,25,11,1213
1994-07-31,"Western Africa","Africa",8,2101,179,223,2503
1994-08-31,"Eastern Africa","Africa",5,3825,48,135,4008
1994-08-31,"Middle Africa","Africa",1,NA,40,2,42
1994-08-31,"Northern Africa","Africa",3,2113,68,80,2261
1994-08-31,"Southern Africa","Africa",1,1175,25,11,1211
1994-08-31,"Western Africa","Africa",9,2530,174,256,2960
1994-09-30,"Eastern Africa","Africa",6,3727,113,145,3985
1994-09-30,"Middle Africa","Africa",2,NA,40,132,172
1994-09-30,"Northern Africa","Africa",3,2146,68,90,2304
1994-09-30,"Southern Africa","Africa",1,1173,25,2,1200
1994-09-30,"Western Africa","Africa",9,2983,240,257,3480
1994-10-31,"Eastern Africa","Africa",6,4017,113,132,4262
1994-10-31,"Middle Africa","Africa",2,NA,38,133,171
1994-10-31,"Northern Africa","Africa",3,2436,73,73,2582
1994-10-31,"Western Africa","Africa",9,2547,280,239,3066
1994-11-30,"Eastern Africa","Africa",6,4112,138,123,4373
1994-11-30,"Middle Africa","Africa",2,NA,38,134,172
1994-11-30,"Northern Africa","Africa",3,2447,85,72,2604
1994-11-30,"Western Africa","Africa",9,2539,274,240,3053
1994-12-31,"Eastern Africa","Africa",6,3283,141,129,3553
1994-12-31,"Middle Africa","Africa",2,38,NA,134,172
1994-12-31,"Northern Africa","Africa",3,2449,104,72,2625
1994-12-31,"Western Africa","Africa",9,2528,315,251,3094
1995-01-31,"Eastern Africa","Africa",6,2794,103,156,3053
1995-01-31,"Middle Africa","Africa",2,38,NA,133,171
1995-01-31,"Northern Africa","Africa",3,2440,36,67,2543
1995-01-31,"Western Africa","Africa",8,2504,175,225,2904
1995-02-28,"Eastern Africa","Africa",6,3549,102,156,3807
1995-02-28,"Middle Africa","Africa",2,38,NA,138,176
1995-02-28,"Northern Africa","Africa",4,1275,53,86,1414
1995-02-28,"Western Africa","Africa",8,2486,187,226,2899
1995-03-31,"Eastern Africa","Africa",6,2817,102,164,3083
1995-03-31,"Middle Africa","Africa",2,2,NA,8,10
1995-03-31,"Northern Africa","Africa",4,1286,73,85,1444
1995-03-31,"Western Africa","Africa",7,2407,211,239,2857
1995-04-30,"Eastern Africa","Africa",6,2006,90,163,2259
1995-04-30,"Middle Africa","Africa",2,2,NA,8,10
1995-04-30,"Northern Africa","Africa",4,1273,69,84,1426
1995-04-30,"Western Africa","Africa",7,2389,201,250,2840
1995-05-31,"Eastern Africa","Africa",6,2831,93,169,3093
1995-05-31,"Middle Africa","Africa",2,2,5,17,24
1995-05-31,"Northern Africa","Africa",4,1268,68,75,1411
1995-05-31,"Western Africa","Africa",8,2407,265,255,2927
1995-06-30,"Eastern Africa","Africa",6,2852,87,170,3109
1995-06-30,"Middle Africa","Africa",2,2,6,15,23
1995-06-30,"Northern Africa","Africa",4,1266,57,71,1394
1995-06-30,"Western Africa","Africa",8,2386,243,251,2880
1995-07-31,"Eastern Africa","Africa",6,2046,89,169,2304
1995-07-31,"Middle Africa","Africa",2,2,5,15,22
1995-07-31,"Northern Africa","Africa",4,467,56,73,596
1995-07-31,"Western Africa","Africa",8,2198,213,247,2658
1995-08-31,"Eastern Africa","Africa",6,2010,91,162,2263
1995-08-31,"Middle Africa","Africa",2,2,5,15,22
1995-08-31,"Northern Africa","Africa",4,452,55,73,580
1995-08-31,"Western Africa","Africa",9,1958,225,247,2430
1995-09-30,"Eastern Africa","Africa",6,1377,88,169,1634
1995-09-30,"Middle Africa","Africa",2,2,5,15,22
1995-09-30,"Northern Africa","Africa",4,440,85,64,589
1995-09-30,"Western Africa","Africa",9,1434,222,239,1895
1995-10-31,"Eastern Africa","Africa",6,1261,88,172,1521
1995-10-31,"Middle Africa","Africa",2,NA,5,15,20
1995-10-31,"Northern Africa","Africa",4,441,85,66,592
1995-10-31,"Western Africa","Africa",9,1317,210,229,1756
1995-11-30,"Eastern Africa","Africa",6,1256,79,152,1487
1995-11-30,"Middle Africa","Africa",2,NA,5,15,20
1995-11-30,"Northern Africa","Africa",4,446,86,66,598
1995-11-30,"Western Africa","Africa",9,1307,209,222,1738
1995-12-31,"Eastern Africa","Africa",6,1492,78,147,1717
1995-12-31,"Middle Africa","Africa",2,NA,5,15,20
1995-12-31,"Northern Africa","Africa",3,62,58,66,186
1995-12-31,"Western Africa","Africa",8,1307,145,196,1648
1996-01-31,"Eastern Africa","Africa",6,1445,72,116,1633
1996-01-31,"Middle Africa","Africa",1,NA,NA,15,15
1996-01-31,"Northern Africa","Africa",3,2,58,65,125
1996-01-31,"Southern Africa","Africa",1,199,NA,NA,199
1996-01-31,"Western Africa","Africa",8,1138,142,177,1457
1996-02-29,"Eastern Africa","Africa",6,1437,96,109,1642
1996-02-29,"Middle Africa","Africa",1,NA,NA,15,15
1996-02-29,"Northern Africa","Africa",3,2,51,61,114
1996-02-29,"Southern Africa","Africa",1,200,NA,NA,200
1996-02-29,"Western Africa","Africa",8,975,146,169,1290
1996-03-31,"Eastern Africa","Africa",6,1583,92,83,1758
1996-03-31,"Middle Africa","Africa",1,NA,NA,15,15
1996-03-31,"Northern Africa","Africa",3,2,71,61,134
1996-03-31,"Southern Africa","Africa",1,212,NA,NA,212
1996-03-31,"Western Africa","Africa",7,664,184,113,961
1996-04-30,"Eastern Africa","Africa",4,1363,97,71,1531
1996-04-30,"Middle Africa","Africa",1,NA,NA,8,8
1996-04-30,"Northern Africa","Africa",3,1,58,55,114
1996-04-30,"Southern Africa","Africa",1,209,NA,NA,209
1996-04-30,"Western Africa","Africa",7,653,230,103,986
1996-05-31,"Eastern Africa","Africa",4,1366,83,69,1518
1996-05-31,"Middle Africa","Africa",1,NA,NA,8,8
1996-05-31,"Northern Africa","Africa",3,1,92,52,145
1996-05-31,"Southern Africa","Africa",1,208,NA,NA,208
1996-05-31,"Western Africa","Africa",7,652,261,101,1014
1996-06-30,"Eastern Africa","Africa",4,1365,109,69,1543
1996-06-30,"Middle Africa","Africa",1,NA,NA,8,8
1996-06-30,"Northern Africa","Africa",3,1,92,52,145
1996-06-30,"Southern Africa","Africa",1,205,NA,NA,205
1996-06-30,"Western Africa","Africa",7,649,248,112,1009
1996-07-31,"Eastern Africa","Africa",4,1287,118,71,1476
1996-07-31,"Middle Africa","Africa",1,NA,NA,8,8
1996-07-31,"Northern Africa","Africa",3,1,91,51,143
1996-07-31,"Southern Africa","Africa",1,207,NA,NA,207
1996-07-31,"Western Africa","Africa",7,649,246,110,1005
1996-08-31,"Eastern Africa","Africa",4,1371,122,69,1562
1996-08-31,"Middle Africa","Africa",1,NA,NA,8,8
1996-08-31,"Northern Africa","Africa",3,1,91,49,141
1996-08-31,"Southern Africa","Africa",1,209,NA,NA,209
1996-08-31,"Western Africa","Africa",7,648,242,104,994
1996-09-30,"Eastern Africa","Africa",4,1369,116,70,1555
1996-09-30,"Middle Africa","Africa",1,NA,NA,8,8
1996-09-30,"Northern Africa","Africa",3,1,94,47,142
1996-09-30,"Southern Africa","Africa",1,209,NA,NA,209
1996-09-30,"Western Africa","Africa",7,654,244,100,998
1996-10-31,"Eastern Africa","Africa",4,1369,116,70,1555
1996-10-31,"Middle Africa","Africa",1,NA,NA,8,8
1996-10-31,"Northern Africa","Africa",3,1,94,49,144
1996-10-31,"Southern Africa","Africa",1,209,NA,NA,209
1996-10-31,"Western Africa","Africa",7,655,243,101,999
1996-11-30,"Eastern Africa","Africa",4,1377,117,71,1565
1996-11-30,"Middle Africa","Africa",1,NA,NA,5,5
1996-11-30,"Northern Africa","Africa",3,1,94,53,148
1996-11-30,"Southern Africa","Africa",1,209,NA,NA,209
1996-11-30,"Western Africa","Africa",7,656,243,103,1002
1996-12-31,"Eastern Africa","Africa",3,1376,98,78,1552
1996-12-31,"Middle Africa","Africa",1,NA,NA,4,4
1996-12-31,"Northern Africa","Africa",3,1,94,61,156
1996-12-31,"Southern Africa","Africa",1,206,NA,NA,206
1996-12-31,"Western Africa","Africa",7,655,249,102,1006
1997-01-31,"Eastern Africa","Africa",3,1376,98,78,1552
1997-01-31,"Middle Africa","Africa",1,NA,NA,3,3
1997-01-31,"Northern Africa","Africa",3,1,93,61,155
1997-01-31,"Southern Africa","Africa",1,206,NA,NA,206
1997-01-31,"Western Africa","Africa",7,654,250,114,1018
1997-02-28,"Eastern Africa","Africa",3,850,58,79,987
1997-02-28,"Middle Africa","Africa",1,NA,NA,3,3
1997-02-28,"Northern Africa","Africa",3,1,86,55,142
1997-02-28,"Southern Africa","Africa",1,204,NA,NA,204
1997-02-28,"Western Africa","Africa",7,668,262,103,1033
1997-03-31,"Eastern Africa","Africa",3,1246,73,94,1413
1997-03-31,"Middle Africa","Africa",1,NA,NA,4,4
1997-03-31,"Northern Africa","Africa",3,1,87,55,143
1997-03-31,"Southern Africa","Africa",1,207,NA,NA,207
1997-03-31,"Western Africa","Africa",7,652,252,108,1012
1997-04-30,"Eastern Africa","Africa",3,1231,98,78,1407
1997-04-30,"Middle Africa","Africa",1,NA,NA,4,4
1997-04-30,"Northern Africa","Africa",3,1,98,54,153
1997-04-30,"Southern Africa","Africa",1,207,NA,NA,207
1997-04-30,"Western Africa","Africa",7,658,228,101,987
1997-05-31,"Eastern Africa","Africa",3,1215,98,78,1391
1997-05-31,"Middle Africa","Africa",1,NA,NA,4,4
1997-05-31,"Northern Africa","Africa",3,1,106,55,162
1997-05-31,"Southern Africa","Africa",1,203,NA,NA,203
1997-05-31,"Western Africa","Africa",7,658,231,95,984
1997-06-30,"Eastern Africa","Africa",3,1209,73,77,1359
