"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
2012-06-30,"Southern Europe","Europe",10,2343,295,65,2703
2012-06-30,"Western Europe","Europe",7,1917,92,79,2088
2012-07-31,"Eastern Europe","Europe",10,681,129,155,965
2012-07-31,"Northern Europe","Europe",8,844,79,126,1049
2012-07-31,"Southern Europe","Europe",10,2296,286,57,2639
2012-07-31,"Western Europe","Europe",7,1813,99,83,1995
2012-08-31,"Eastern Europe","Europe",10,681,131,165,977
2012-08-31,"Northern Europe","Europe",7,829,84,108,1021
2012-08-31,"Southern Europe","Europe",10,2327,290,56,2673
2012-08-31,"Western Europe","Europe",7,1762,97,76,1935
2012-09-30,"Eastern Europe","Europe",10,685,137,156,978
2012-09-30,"Northern Europe","Europe",7,830,83,108,1021
2012-09-30,"Southern Europe","Europe",10,2350,275,56,2681
2012-09-30,"Western Europe","Europe",7,1745,95,75,1915
2012-10-31,"Eastern Europe","Europe",10,682,123,153,958
2012-10-31,"Northern Europe","Europe",7,836,76,111,1023
2012-10-31,"Southern Europe","Europe",10,2550,278,55,2883
2012-10-31,"Western Europe","Europe",6,1792,98,73,1963
2012-11-30,"Eastern Europe","Europe",10,689,115,156,960
2012-11-30,"Northern Europe","Europe",7,840,80,109,1029
2012-11-30,"Southern Europe","Europe",10,2117,103,55,2275
2012-11-30,"Western Europe","Europe",6,1771,99,80,1950
2012-12-31,"Eastern Europe","Europe",10,688,111,156,955
2012-12-31,"Northern Europe","Europe",7,843,86,110,1039
2012-12-31,"Southern Europe","Europe",10,2087,89,54,2230
2012-12-31,"Western Europe","Europe",6,1717,96,76,1889
2013-01-31,"Eastern Europe","Europe",10,691,117,160,968
2013-01-31,"Northern Europe","Europe",7,846,89,112,1047
2013-01-31,"Southern Europe","Europe",10,2067,84,57,2208
2013-01-31,"Western Europe","Europe",6,1730,96,76,1902
2013-02-28,"Eastern Europe","Europe",10,696,132,157,985
2013-02-28,"Northern Europe","Europe",7,854,87,102,1043
2013-02-28,"Southern Europe","Europe",10,2058,81,54,2193
2013-02-28,"Western Europe","Europe",7,1781,94,64,1939
2013-03-31,"Eastern Europe","Europe",10,699,140,162,1001
2013-03-31,"Northern Europe","Europe",7,869,76,100,1045
2013-03-31,"Southern Europe","Europe",10,1991,89,56,2136
2013-03-31,"Western Europe","Europe",7,1734,93,62,1889
2013-04-30,"Eastern Europe","Europe",10,695,144,159,998
2013-04-30,"Northern Europe","Europe",7,848,82,101,1031
2013-04-30,"Southern Europe","Europe",10,2172,95,56,2323
2013-04-30,"Western Europe","Europe",7,1753,94,61,1908
2013-05-31,"Eastern Europe","Europe",10,696,144,159,999
2013-05-31,"Northern Europe","Europe",7,851,75,98,1024
2013-05-31,"Southern Europe","Europe",10,1953,93,51,2097
