"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
2005-04-30,"Australia and New Zealand","Oceania",2,97,32,28,157
2005-04-30,"Melanesia","Oceania",1,137,30,NA,167
2005-04-30,"Polynesia","Oceania",1,NA,20,NA,20
2005-05-31,"Australia and New Zealand","Oceania",2,3,18,18,39
2005-05-31,"Melanesia","Oceania",1,NA,19,2,21
2005-05-31,"Polynesia","Oceania",1,NA,17,NA,17
2005-06-30,"Australia and New Zealand","Oceania",2,3,18,22,43
2005-06-30,"Melanesia","Oceania",1,NA,19,2,21
2005-06-30,"Polynesia","Oceania",1,NA,17,NA,17
2005-07-31,"Australia and New Zealand","Oceania",2,3,19,12,34
2005-07-31,"Melanesia","Oceania",1,NA,50,2,52
2005-07-31,"Polynesia","Oceania",1,NA,24,NA,24
2005-08-31,"Australia and New Zealand","Oceania",2,3,15,21,39
2005-08-31,"Melanesia","Oceania",1,NA,50,2,52
2005-08-31,"Polynesia","Oceania",1,NA,21,NA,21
2005-09-30,"Australia and New Zealand","Oceania",2,3,19,13,35
2005-09-30,"Melanesia","Oceania",1,NA,50,2,52
2005-09-30,"Micronesia","Oceania",1,NA,2,NA,2
2005-09-30,"Polynesia","Oceania",1,NA,21,NA,21
2005-10-31,"Australia and New Zealand","Oceania",2,5,19,35,59
2005-10-31,"Melanesia","Oceania",2,NA,54,2,56
2005-10-31,"Micronesia","Oceania",1,NA,2,NA,2
2005-10-31,"Polynesia","Oceania",1,NA,23,NA,23
2005-11-30,"Australia and New Zealand","Oceania",2,10,20,15,45
2005-11-30,"Melanesia","Oceania",2,NA,61,2,63
2005-11-30,"Micronesia","Oceania",1,NA,2,NA,2
2005-11-30,"Polynesia","Oceania",1,NA,21,NA,21
2005-12-31,"Australia and New Zealand","Oceania",2,10,18,28,56
2005-12-31,"Melanesia","Oceania",2,NA,64,2,66
2005-12-31,"Micronesia","Oceania",1,NA,2,NA,2
2005-12-31,"Polynesia","Oceania",1,NA,21,NA,21
2006-01-31,"Australia and New Zealand","Oceania",2,10,18,36,64
2006-01-31,"Melanesia","Oceania",2,134,64,3,201
2006-01-31,"Micronesia","Oceania",1,NA,2,NA,2
2006-01-31,"Polynesia","Oceania",1,NA,23,NA,23
2006-02-28,"Australia and New Zealand","Oceania",2,10,18,36,64
2006-02-28,"Melanesia","Oceania",2,134,64,3,201
2006-02-28,"Micronesia","Oceania",1,NA,2,NA,2
2006-02-28,"Polynesia","Oceania",1,NA,23,NA,23
2006-03-31,"Australia and New Zealand","Oceania",2,10,28,36,74
2006-03-31,"Melanesia","Oceania",2,134,64,8,206
2006-03-31,"Micronesia","Oceania",1,NA,2,NA,2
2006-03-31,"Polynesia","Oceania",1,NA,23,NA,23
2006-04-30,"Australia and New Zealand","Oceania",2,10,28,36,74
2006-04-30,"Melanesia","Oceania",2,134,62,8,204
2006-04-30,"Micronesia","Oceania",1,NA,2,NA,2
2006-04-30,"Polynesia","Oceania",1,NA,24,NA,24
2006-05-31,"Australia and New Zealand","Oceania",2,9,28,35,72
2006-05-31,"Melanesia","Oceania",2,134,22,6,162
