"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
1997-05-31,"Central America","South America",2,NA,NA,14,14
1997-05-31,"Northern America","North America",2,1466,359,51,1876
1997-05-31,"South America","South America",5,1288,108,88,1484
1997-06-30,"Caribbean","South America",1,NA,NA,4,4
1997-06-30,"Central America","South America",2,NA,NA,14,14
1997-06-30,"Northern America","North America",2,1451,404,52,1907
1997-06-30,"South America","South America",5,1244,109,85,1438
1997-07-31,"Caribbean","South America",1,NA,NA,1,1
1997-07-31,"Central America","South America",2,NA,NA,14,14
1997-07-31,"Northern America","North America",2,1435,386,54,1875
1997-07-31,"South America","South America",5,953,126,87,1166
1997-08-31,"Caribbean","South America",1,NA,NA,1,1
1997-08-31,"Central America","South America",2,NA,NA,14,14
1997-08-31,"Northern America","North America",2,1373,383,49,1805
1997-08-31,"South America","South America",5,503,142,85,730
1997-09-30,"Caribbean","South America",1,NA,NA,1,1
1997-09-30,"Central America","South America",2,NA,NA,14,14
1997-09-30,"Northern America","North America",2,1267,372,49,1688
1997-09-30,"South America","South America",5,454,140,85,679
1997-10-31,"Caribbean","South America",1,NA,NA,1,1
1997-10-31,"Central America","South America",2,NA,NA,14,14
1997-10-31,"Northern America","North America",2,1298,348,49,1695
1997-10-31,"South America","South America",5,451,145,82,678
1997-11-30,"Central America","South America",2,NA,NA,14,14
1997-11-30,"Northern America","North America",2,1158,319,49,1526
1997-11-30,"South America","South America",5,454,146,79,679
1997-12-31,"Central America","South America",2,NA,NA,14,14
1997-12-31,"Northern America","North America",2,537,312,49,898
1997-12-31,"South America","South America",5,453,278,71,802
1998-01-31,"Central America","South America",2,NA,NA,14,14
1998-01-31,"Northern America","North America",2,534,208,49,791
1998-01-31,"South America","South America",5,453,279,61,793
1998-02-28,"Central America","South America",2,NA,NA,14,14
1998-02-28,"Northern America","North America",2,590,308,48,946
1998-02-28,"South America","South America",5,453,270,66,789
1998-03-31,"Central America","South America",2,NA,NA,14,14
1998-03-31,"Northern America","North America",2,538,316,49,903
1998-03-31,"South America","South America",5,455,264,63,782
1998-04-30,"Central America","South America",2,NA,NA,14,14
1998-04-30,"Northern America","North America",2,696,265,47,1008
1998-04-30,"South America","South America",5,455,271,63,789
1998-05-31,"Central America","South America",2,NA,NA,14,14
1998-05-31,"Northern America","North America",2,705,295,47,1047
1998-05-31,"South America","South America",5,463,265,64,792
1998-06-30,"Central America","South America",2,NA,NA,14,14
1998-06-30,"Northern America","North America",2,693,315,47,1055
1998-06-30,"South America","South America",5,467,285,64,816
1998-07-31,"Central America","South America",2,NA,NA,14,14
1998-07-31,"Northern America","North America",2,681,313,47,1041
1998-07-31,"South America","South America",5,467,280,62,809
1998-08-31,"Central America","South America",2,NA,NA,14,14
1998-08-31,"Northern America","North America",2,683,306,47,1036
1998-08-31,"South America","South America",5,468,266,61,795
1998-09-30,"Central America","South America",2,NA,NA,14,14
1998-09-30,"Northern America","North America",2,689,310,48,1047
1998-09-30,"South America","South America",5,466,261,59,786
1998-10-31,"Central America","South America",2,NA,NA,14,14
1998-10-31,"Northern America","North America",2,689,272,48,1009
1998-10-31,"South America","South America",5,465,268,59,792
1998-11-30,"Central America","South America",2,NA,NA,14,14
1998-11-30,"Northern America","North America",2,695,254,48,997
1998-11-30,"South America","South America",5,463,265,60,788
1998-12-31,"Central America","South America",2,NA,NA,14,14
1998-12-31,"Northern America","North America",2,695,254,48,997
1998-12-31,"South America","South America",5,463,265,60,788
1999-01-31,"Central America","South America",2,NA,NA,14,14
1999-01-31,"Northern America","North America",2,705,283,47,1035
1999-01-31,"South America","South America",5,477,196,53,726
1999-02-28,"Central America","South America",2,NA,NA,13,13
1999-02-28,"Northern America","North America",2,602,287,47,936
1999-02-28,"South America","South America",5,500,218,52,770
1999-03-31,"Central America","South America",2,NA,NA,14,14
1999-03-31,"Northern America","North America",2,242,275,46,563
1999-03-31,"South America","South America",5,530,210,48,788
1999-04-30,"Central America","South America",2,NA,NA,17,17
1999-04-30,"Northern America","North America",2,215,247,46,508
1999-04-30,"South America","South America",5,513,173,45,731
