"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
1994-08-31,"Eastern Asia","Asia",3,80,2,72,154
1994-08-31,"South-Eastern Asia","Asia",4,2661,93,128,2882
1994-08-31,"Southern Asia","Asia",5,19909,328,340,20577
1994-08-31,"Western Asia","Asia",2,3360,116,101,3577
1994-09-30,"Eastern Asia","Asia",3,96,2,67,165
1994-09-30,"South-Eastern Asia","Asia",4,2915,88,134,3137
1994-09-30,"Southern Asia","Asia",5,20533,385,321,21239
1994-09-30,"Western Asia","Asia",2,3410,151,101,3662
1994-10-31,"Eastern Asia","Asia",3,96,NA,67,163
1994-10-31,"South-Eastern Asia","Asia",5,2812,145,105,3062
1994-10-31,"Southern Asia","Asia",5,19329,395,264,19988
1994-10-31,"Western Asia","Asia",2,3474,156,85,3715
1994-11-30,"Eastern Asia","Asia",3,96,NA,73,169
1994-11-30,"South-Eastern Asia","Asia",5,2917,110,133,3160
1994-11-30,"Southern Asia","Asia",5,19677,402,236,20315
1994-11-30,"Western Asia","Asia",2,3420,156,77,3653
1994-12-31,"Eastern Asia","Asia",3,95,NA,73,168
1994-12-31,"South-Eastern Asia","Asia",5,2910,112,141,3163
1994-12-31,"Southern Asia","Asia",5,14964,391,242,15597
1994-12-31,"Western Asia","Asia",2,3429,161,88,3678
1995-01-31,"Eastern Asia","Asia",2,41,NA,58,99
1995-01-31,"South-Eastern Asia","Asia",5,1864,61,118,2043
1995-01-31,"Southern Asia","Asia",4,14065,106,214,14385
1995-01-31,"Western Asia","Asia",2,3414,96,99,3609
1995-02-28,"Eastern Asia","Asia",2,40,NA,59,99
1995-02-28,"South-Eastern Asia","Asia",4,1768,75,127,1970
1995-02-28,"Southern Asia","Asia",4,7436,90,248,7774
1995-02-28,"Western Asia","Asia",2,3513,96,100,3709
1995-03-31,"Eastern Asia","Asia",2,40,NA,57,97
1995-03-31,"South-Eastern Asia","Asia",4,1769,75,118,1962
1995-03-31,"Southern Asia","Asia",4,9784,296,254,10334
1995-03-31,"Western Asia","Asia",2,3385,240,102,3727
