"date","mission.continent","mission.un.region","n.missions","troops","police","observers","total"
1994-06-30,"Africa","Western Africa",1,65,0,303,368
1994-06-30,"Asia","Southern Asia",1,0,0,40,40
1994-06-30,"Asia","Western Asia",6,8404,34,465,8903
1994-06-30,"Europe","Southern Europe",1,35135,634,596,36365
1994-06-30,"South America","Central America",1,4,153,40,197
1994-07-31,"Africa","Eastern Africa",4,24118,966,591,25675
1994-07-31,"Africa","Middle Africa",1,11,15,65,91
1994-07-31,"Africa","Northern Africa",1,20,70,224,314
1994-07-31,"Africa","Western Africa",1,65,0,301,366
1994-07-31,"Asia","Southern Asia",1,0,0,38,38
1994-07-31,"Asia","Western Asia",6,8319,34,498,8851
1994-07-31,"Europe","Southern Europe",1,36430,674,622,37726
1994-07-31,"South America","Central America",1,4,172,39,215
1994-08-31,"Africa","Eastern Africa",4,26423,919,705,28047
1994-08-31,"Africa","Middle Africa",1,11,17,65,93
1994-08-31,"Africa","Northern Africa",1,31,74,222,327
1994-08-31,"Africa","Western Africa",1,65,0,270,335
1994-08-31,"Asia","Southern Asia",1,0,0,38,38
1994-08-31,"Asia","Western Asia",6,8365,35,503,8903
1994-08-31,"Europe","Southern Europe",1,37442,644,623,38709
1994-08-31,"South America","Central America",1,2,170,35,207
1994-09-30,"Africa","Eastern Africa",3,27284,1127,791,29202
1994-09-30,"Africa","Middle Africa",1,11,18,65,94
1994-09-30,"Africa","Northern Africa",1,50,53,225,328
1994-09-30,"Africa","Western Africa",1,25,0,270,295
1994-09-30,"Asia","Southern Asia",1,0,0,38,38
1994-09-30,"Asia","Western Asia",6,8365,35,521,8921
1994-09-30,"Europe","Southern Europe",1,38318,938,637,39893
1994-09-30,"South America","Caribbean",1,0,0,8,8
1994-09-30,"South America","Central America",1,2,152,13,167
1994-10-31,"Africa","Eastern Africa",3,25021,1208,773,27002
1994-10-31,"Africa","Middle Africa",1,11,18,65,94
1994-10-31,"Africa","Northern Africa",1,48,54,225,327
1994-10-31,"Africa","Western Africa",1,9,0,98,107
1994-10-31,"Asia","Southern Asia",1,0,0,38,38
1994-10-31,"Asia","Western Asia",6,8242,21,557,8820
1994-10-31,"Europe","Southern Europe",1,38223,962,603,39788
1994-10-31,"South America","Caribbean",1,6,18,12,36
1994-10-31,"South America","Central America",1,2,147,13,162
1994-11-30,"Africa","Eastern Africa",3,24717,1053,647,26417
1994-11-30,"Africa","Middle Africa",1,11,21,65,97
1994-11-30,"Africa","Northern Africa",1,48,49,239,336
1994-11-30,"Africa","Western Africa",1,8,0,76,84
1994-11-30,"Asia","Southern Asia",1,0,0,39,39
1994-11-30,"Asia","Western Asia",6,8294,48,568,8910
1994-11-30,"Europe","Southern Europe",1,37855,976,710,39541
1994-11-30,"South America","Caribbean",1,6,19,14,39
1994-11-30,"South America","Central America",1,2,31,3,36
1994-12-31,"Africa","Eastern Africa",3,19199,1035,631,20865
1994-12-31,"Africa","Middle Africa",1,11,39,103,153
1994-12-31,"Africa","Northern Africa",1,48,49,237,334
1994-12-31,"Africa","Western Africa",1,8,0,76,84
1994-12-31,"Asia","Central Asia",1,0,0,17,17
1994-12-31,"Asia","Southern Asia",1,0,0,39,39
1994-12-31,"Asia","Western Asia",6,8229,35,574,8838
1994-12-31,"Europe","Southern Europe",1,38306,764,719,39789
1994-12-31,"South America","Caribbean",1,16,40,16,72
1994-12-31,"South America","Central America",1,0,31,3,34
1995-01-31,"Africa","Eastern Africa",2,14394,115,440,14949
1995-01-31,"Africa","Middle Africa",1,11,107,179,297
1995-01-31,"Africa","Northern Africa",1,48,49,234,331
1995-01-31,"Africa","Western Africa",1,7,0,74,81
1995-01-31,"Asia","Central Asia",1,0,0,17,17
1995-01-31,"Asia","Southern Asia",1,0,0,39,39
1995-01-31,"Asia","Western Asia",6,8229,34,579,8842
1995-01-31,"Europe","Southern Europe",1,38181,775,694,39650
1995-01-31,"South America","Caribbean",1,18,40,20,78
1995-01-31,"South America","Central America",1,0,31,3,34
1995-02-28,"Africa","Eastern Africa",1,7211,99,440,7750
1995-02-28,"Africa","Middle Africa",1,11,131,259,401
1995-02-28,"Africa","Northern Africa",1,48,74,253,375
1995-02-28,"Africa","Western Africa",1,7,0,74,81
1995-02-28,"Asia","Central Asia",1,0,0,17,17
1995-02-28,"Asia","Southern Asia",1,0,0,39,39
1995-02-28,"Asia","Western Asia",6,8229,34,595,8858
1995-02-28,"Europe","Southern Europe",1,38217,773,716,39706
1995-02-28,"South America","Caribbean",1,354,149,20,523
1995-02-28,"South America","Central America",1,0,31,3,34
1995-03-31,"Africa","Eastern Africa",1,6340,58,297,6695
1995-03-31,"Africa","Middle Africa",1,12,171,314,497
1995-03-31,"Africa","Northern Africa",1,48,97,232,377
1995-03-31,"Africa","Western Africa",1,9,0,77,86
1995-03-31,"Asia","Central Asia",1,0,0,17,17
1995-03-31,"Asia","Southern Asia",1,0,0,39,39
1995-03-31,"Asia","Western Asia",6,8052,34,597,8683
1995-03-31,"Europe","Southern Europe",1,37521,732,677,38930
1995-03-31,"South America","Caribbean",1,5668,716,19,6403
1995-03-31,"South America","Central America",1,0,31,3,34
1995-04-30,"Africa","Eastern Africa",1,5628,58,302,5988
1995-04-30,"Africa","Middle Africa",1,13,171,316,500
1995-04-30,"Africa","Northern Africa",1,48,85,232,365
1995-04-30,"Africa","Western Africa",1,9,0,77,86
1995-04-30,"Asia","Central Asia",1,0,0,31,31
1995-04-30,"Asia","Southern Asia",1,0,0,42,42
1995-04-30,"Asia","Western Asia",6,8005,35,592,8632
1995-04-30,"Europe","Southern Europe",3,37958,726,676,39360
1995-04-30,"South America","Caribbean",1,5970,781,6,6757
1995-04-30,"South America","Central America",1,0,31,3,34
1995-05-31,"Africa","Eastern Africa",1,6470,68,313,6851
1995-05-31,"Africa","Middle Africa",1,1969,212,331,2512
1995-05-31,"Africa","Northern Africa",1,48,112,238,398
1995-05-31,"Africa","Western Africa",1,9,0,63,72
1995-05-31,"Asia","Central Asia",1,0,0,39,39
1995-05-31,"Asia","Southern Asia",1,0,0,40,40
1995-05-31,"Asia","Western Asia",6,8019,135,598,8752
1995-05-31,"Europe","Southern Europe",3,38260,619,667,39546
1995-05-31,"South America","Caribbean",1,6091,774,0,6865
1995-06-30,"Africa","Eastern Africa",1,6454,69,308,6831
1995-06-30,"Africa","Middle Africa",1,2231,209,337,2777
1995-06-30,"Africa","Northern Africa",1,48,113,235,396
1995-06-30,"Africa","Western Africa",1,8,0,63,71
1995-06-30,"Asia","Central Asia",1,0,0,39,39
1995-06-30,"Asia","Southern Asia",1,0,0,40,40
1995-06-30,"Asia","Western Asia",6,8022,133,595,8750
1995-06-30,"Europe","Southern Europe",3,39671,571,658,40900
1995-06-30,"South America","Caribbean",1,6043,750,0,6793
1995-07-31,"Africa","Eastern Africa",1,3805,59,305,4169
1995-07-31,"Africa","Middle Africa",1,3014,207,333,3554
1995-07-31,"Africa","Northern Africa",1,48,113,236,397
1995-07-31,"Africa","Western Africa",1,7,0,63,70
1995-07-31,"Asia","Central Asia",1,0,0,39,39
1995-07-31,"Asia","Southern Asia",1,0,0,40,40
1995-07-31,"Asia","Western Asia",6,8039,133,598,8770
1995-07-31,"Europe","Southern Europe",3,42490,511,674,43675
1995-07-31,"South America","Caribbean",1,5834,743,0,6577
1995-08-31,"Africa","Eastern Africa",1,2401,68,302,2771
1995-08-31,"Africa","Middle Africa",1,3554,223,341,4118
1995-08-31,"Africa","Northern Africa",1,48,93,247,388
1995-08-31,"Africa","Western Africa",1,7,0,46,53
1995-08-31,"Asia","Central Asia",1,0,0,39,39
1995-08-31,"Asia","Southern Asia",1,0,0,39,39
1995-08-31,"Asia","Western Asia",6,8051,132,588,8771
1995-08-31,"Europe","Southern Europe",3,44953,473,638,46064
1995-08-31,"South America","Caribbean",1,5912,735,0,6647
1995-09-30,"Africa","Eastern Africa",1,1830,87,287,2204
1995-09-30,"Africa","Middle Africa",1,4360,237,334,4931
1995-09-30,"Africa","Northern Africa",1,48,92,231,371
1995-09-30,"Africa","Western Africa",1,7,0,51,58
1995-09-30,"Asia","Central Asia",1,0,0,39,39
1995-09-30,"Asia","Southern Asia",1,0,0,39,39
1995-09-30,"Asia","Western Asia",6,8036,80,592,8708
1995-09-30,"Europe","Southern Europe",3,38301,501,645,39447
1995-09-30,"South America","Caribbean",1,5963,738,0,6701
1995-10-31,"Africa","Eastern Africa",1,1821,85,285,2191
1995-10-31,"Africa","Middle Africa",1,5606,250,332,6188
1995-10-31,"Africa","Northern Africa",1,48,91,228,367
