"date","mission.continent","n.missions","troops","police","observers","total"
1999-02-28,"South America",1,0,272,0,272
1999-03-31,"Africa",4,1662,39,215,1916
1999-03-31,"Asia",8,7548,37,513,8098
1999-03-31,"Europe",3,78,2004,24,2106
1999-03-31,"South America",1,0,277,0,277
1999-04-30,"Africa",4,1433,68,228,1729
1999-04-30,"Asia",8,7730,36,523,8289
1999-04-30,"Europe",2,4,1830,27,1861
1999-04-30,"South America",1,0,279,0,279
1999-05-31,"Africa",4,1627,63,237,1927
1999-05-31,"Asia",8,7692,36,515,8243
1999-05-31,"Europe",2,4,1914,27,1945
1999-05-31,"South America",1,0,280,0,280
1999-06-30,"Africa",4,1757,55,244,2056
1999-06-30,"Asia",8,7480,37,464,7981
1999-06-30,"Europe",3,8,1828,27,1863
1999-06-30,"South America",1,1,291,0,292
1999-07-31,"Africa",4,1568,107,270,1945
1999-07-31,"Asia",8,7663,37,528,8228
1999-07-31,"Europe",3,34,1969,34,2037
1999-07-31,"South America",1,0,282,0,282
1999-08-31,"Africa",4,1463,105,296,1864
1999-08-31,"Asia",9,7719,325,527,8571
1999-08-31,"Europe",3,38,2516,27,2581
1999-08-31,"South America",2,0,328,0,328
1999-09-30,"Africa",5,1604,105,377,2086
1999-09-30,"Asia",9,7622,231,635,8488
1999-09-30,"Europe",3,0,3252,66,3318
1999-09-30,"South America",2,0,335,20,355
1999-10-31,"Africa",5,1463,105,454,2022
1999-10-31,"Asia",9,7716,230,632,8578
1999-10-31,"Europe",3,0,3568,65,3633
1999-10-31,"South America",2,0,335,30,365
1999-11-30,"Africa",5,1400,105,454,1959
1999-11-30,"Asia",9,7716,230,632,8578
1999-11-30,"Europe",3,0,3568,65,3633
1999-11-30,"South America",2,0,335,30,365
1999-12-31,"Africa",5,5027,105,504,5636
1999-12-31,"Asia",9,7441,358,698,8497
1999-12-31,"Europe",3,0,3705,65,3770
1999-12-31,"South America",2,0,259,5,264
2000-01-31,"Africa",5,5057,93,530,5680
2000-01-31,"Asia",9,7652,515,703,8870
2000-01-31,"Europe",3,0,3713,66,3779
2000-01-31,"South America",2,0,291,20,311
2000-02-28,"Africa",5,4865,90,1341,6296
2000-02-28,"Asia",9,14484,689,703,15876
2000-02-28,"Europe",3,0,4215,68,4283
2000-02-28,"South America",2,0,265,20,285
2000-03-31,"Africa",5,7243,95,582,7920
