"date","mission","mission.country","mission.iso3.alpha","mission.hq","mission.hq.long","mission.hq.lat","mission.continent","mission.un.region","mission.nam","mission.g77","mission.au","mission.arab.league","mission.oic","mission.cis","mission.g20","mission.eu","n.contributors","troops","police","observers","total"
1993-06-30,"UNIKOM","Iraq","IRQ","Umm Qasr",47.9294,30.0342,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,32,87,NA,240,327
1993-06-30,"UNPROFOR","Croatia","HRV","Zagreb",15.9833,45.8167,"Europe","Southern Europe",NA,NA,NA,NA,NA,NA,NA,NA,34,22706,649,758,24113
1993-06-30,"UNTSO","Israel","ISR","Jerusalem",35.2167,31.7833,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,219,219
1993-06-30,"UNFICYP","Cyprus","CYP","Nicosia",33.3667,35.1667,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,"1",8,1085,20,8,1113
1993-06-30,"UNOSOM","Somalia","SOM","Mogadishu",45.35,2.0333,"Africa","Eastern Africa","1","1","1","1","1",NA,NA,NA,26,19668,NA,NA,19668
1993-06-30,"UNDOF","Syrian Arab Republic","SYR","Camp Faouar",35.9211,33.2367,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,4,1119,NA,NA,1119
1993-06-30,"UNOMUR","Uganda","UGA","Kabale",29.99,-1.25,"Africa","Eastern Africa","1","1","1",NA,"1",NA,NA,NA,3,NA,NA,3,3
1993-06-30,"UNMOGIP","Pakistan","PAK","Islamabad",73.0667,33.7167,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,8,NA,NA,38,38
1993-06-30,"UNIFIL","Lebanon","LBN","Naquora",35.1342,33.12,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,10,5235,NA,NA,5235
1993-07-31,"UNTAC","Cambodia","KHM","Phnom Penh",104.917,11.55,"Asia","South-Eastern Asia","1","1",NA,NA,NA,NA,NA,NA,44,13980,4111,460,18551
