"date","tcc.continent","n.contributors","troops","police","observers","total"
1994-07-31,"North America",2,3437,46,108,3591
1994-07-31,"Oceania",3,724,37,41,802
1994-07-31,"South America",9,2353,226,242,2821
1994-08-31,"Africa",19,9643,355,484,10482
1994-08-31,"Asia",14,26010,539,641,27190
1994-08-31,"Europe",23,28973,652,922,30547
1994-08-31,"North America",2,3514,46,120,3680
1994-08-31,"Oceania",3,1845,37,42,1924
1994-08-31,"South America",9,2354,230,252,2836
1994-09-30,"Africa",21,10029,486,626,11141
1994-09-30,"Asia",14,26954,626,623,28203
1994-09-30,"Europe",23,29372,645,916,30933
1994-09-30,"North America",2,3486,45,119,3650
1994-09-30,"Oceania",3,1853,303,46,2202
1994-09-30,"South America",9,2361,218,238,2817
1994-10-31,"Africa",20,9000,504,577,10081
1994-10-31,"Asia",15,25711,696,521,26928
1994-10-31,"Europe",24,28435,645,900,29980
1994-10-31,"North America",2,3470,62,118,3650
1994-10-31,"Oceania",3,1835,286,44,2165
1994-10-31,"South America",9,3111,235,224,3570
1994-11-30,"Africa",20,9098,535,569,10202
1994-11-30,"Asia",15,26110,668,519,27297
1994-11-30,"Europe",25,27593,504,900,28997
1994-11-30,"North America",2,3441,63,122,3626
1994-11-30,"Oceania",3,1772,285,43,2100
1994-11-30,"South America",10,2927,142,208,3277
1994-12-31,"Africa",20,8298,560,586,9444
1994-12-31,"Asia",15,21398,664,544,22606
1994-12-31,"Europe",25,27582,529,905,29016
1994-12-31,"North America",2,3585,65,124,3774
1994-12-31,"Oceania",3,2022,35,43,2100
1994-12-31,"South America",10,2932,140,213,3285
1995-01-31,"Africa",19,7776,314,581,8671
1995-01-31,"Asia",13,19384,263,489,20136
1995-01-31,"Europe",25,27056,421,876,28353
1995-01-31,"North America",2,3346,68,118,3532
1995-01-31,"Oceania",3,2015,19,43,2077
1995-01-31,"South America",11,1311,66,172,1549
1995-02-28,"Africa",20,7348,342,606,8296
1995-02-28,"Asia",12,12757,261,534,13552
1995-02-28,"Europe",25,27130,452,929,28511
1995-02-28,"North America",2,3512,136,120,3768
